all,LM,GI,HW
exclusive,,matter#4,
exclusively,,mature#1,
exclusiveness,,mature#2,
exclusives,,mature#3,
exclusivity,,maturity,
excuse#2,,maximize,
execution,,meaningful,
executive,,measurable,
exemplary,,mediate,
exercise#1,,meditation,
exercise#2,,meet#5,
exert,,mellow,
exertion,,melody,
exhilaration,,memorable,
exotic,,mend,
expand#1,,mentor,
expand#2,,merciful,
expanse,,mercy,
expansion,,merit#1,
experience#1,,merit#2,
experience#3,,meritorious,
expert#1,,merrily,
expert#2,,merriment,
exploit#1,,merry,
exquisite,,mesh,
extend#1,,meticulous,
extension,,mighty,
extensive,,mild,
extol,,mind#_10,
extraordinary,,mindful,
extravagance,,minister#4,
extreme#1,,mint,
extreme#2,,miracle,
exuberance,,miraculous,
exuberant,,mirth,
exult,,mobility,
exultation,,mobilize,
eye#3,,moderate,
fabulous,,moderation,
face#2,,modernity,
facilitate,,modest,
facility,,modesty,
factual,,momentous,
faculty#2,,monumental,
fair#1,,moral,
fair#4,,morale,
fair#5,,moralistic,
fairness,,morality,
faith#1,,motivate,
faith#2,,motivated,
faithful,,motivation,
faithfulness,,motive,
fame,,multitude,
familiar,,mutual#1,
familiarity,,mutual#2,
familiarize,,myriad,
famous,,natural#1,
fancy,,natural#2,
fantastic,,navigable,
fantasy,,neat,
farsighted,,necessarily,
fascination,,negotiate,
fashionable,,nice#1,
fast#1,,nice#2,
fast#2,,nice#3,
fast#3,,nice#4,
fast#5,,niche,
fast#6,,nimble,
fate,,nobility,
father,,noble,
fathom#1,,nobleman,
fathom#2,,noiseless,
favor#1,,nominate,
favor#2,,non-violence,
favor#3,,non-violent,
favor#4,,normal,
favor#5,,notable,
favorable,,notoriety,
favorably,,nourish,
favored,,nourishment,
favoring,,novelty,
favorite,,nurse#2,
favorites,,nurture,
fearless,,nutrient,
feasible,,oasis,
feast#1,,obedience,
feast#2,,obedient,
federation,,obey,
feed#1,,objective#2,
fellow#2,,objective#3,
fellowship,,oblige,
fence#2,,obtain,
fertile,,obtainable,
fervent,,offer#1,
fervor,,offer#2,
festival,,offer#3,
festive,,offset,
festivity,,onset,
few#3,,onward,
fidelity,,open#1,
fiery,,open#2,
filial,,opportune,
fill#1,,opportunity,
fill#2,,optimal,
fill#4,,optimism,
final#1,,optimistic,
final#2,,optional,
finance#1,,order#2,
finance#2,,order#5,
fine#1,,order#6,
fine#2,,organize#1,
fine#3,,organize#2,
fine#4,,originality,
fine#5,,outgoing,
firm#2,,outlive,
firm#3,,outright,
firm#4,,outrun,
firm#5,,outset,
firmness,,outstanding,
fit#2,,outwit,
fit#5,,overcome,
fitness,,overjoyed,
fix#1,,painstaking,
flair,,palatable,
flashy,,palatial,
flatter,,pamper,
flattery,,paradise,
flaunt,,paramount,
flawless,,pardon#1,
fleet,,pardon#2,
flew,,particular#1,
flexible,,partner,
flirt,,partnership,
flood#1,,pass#2,
flood#2,,passionate,
floor#3,,patience,
flourish,,patient#2,
fluent,,patient#3,
fly#2,,patriot,
fly#4,,patriotic,
focal,,patron,
fond#1,,patronage,
fond#2,,pay#4,
fond#3,,peace#1,
fond#4,,peace#2,
fond#5,,peaceable,
fond#6,,peaceful,
fond#7,,peerless,
fondness,,perfect#1,
force#1,,perfect#2,
force#2,,perfect#3,
force#4,,perfection,
foremost,,perfectionism,
foresight,,perfectionist,
forever,,perfume,
forgave,,permission,
forgive,,permit#1,
forgiven,,perseverance,
forgiveness,,persevere,
formality,,persuasive,
formation,,pertinent,
fort,,picturesque,
fortify,,piety,
fortitude,,pinnacle,
fortunate,,pious,
fortune#1,,plain#1,
fortune#2,,plain#3,
forward#1,,plain#4,
foster,,plain#5,
found#2,,plausibility,
found#3,,playful,
foundation,,playmate,
founder#1,,plaything,
fragrant,,pleasant#1,
frame#1,,pleasant#2,
frame#2,,pleasantry,
frank,,please#2,
free#1,,please#3,
free#2,,pleased#1,
free#3,,pleased#2,
free#4,,pleasurable,
free#5,,pleasure,
freedom,,pledge,
fresh,,plentiful,
friend,,plenty,
friendly,,poetic,
friendship,,poignant,
frolic,,poise#1,
frugal,,polish,
fruitful,,polite,
fruition,,politeness,
fuck,,pomp,
fulfill,,popular,
fulfillment,,popularity,
full#1,,populous,
full#2,,portable,
full#3,,positive,
full#4,,positiveness,
fullness,,positivity,
fun#1,,posterity,
function#1,,potency,
function#4,,potent,
fundamental,,practicable,
funny#1,,practical#1,
funny#2,,praise#1,
funny#3,,praise#2,
further#1,,prance,
further#3,,precaution,
gaiety,,precedent,
gaily,,precept,
gain,,precious,
gain#1,,precise,
gain#2,,precision,
gained,,preeminent,
gaining,,preference,
gains,,premier,
gallant,,premise,
gallantry,,premium,
game#3,,preparatory,
gang,,prestige,
garnish,,prettily,
gay,,pretty#2,
general#3,,pretty#3,
generate,,pretty#4,
generosity,,pretty#5,
generous,,priceless,
genial,,pride,
genius,,primarily,
gentle,,prime,
genuine,,principal#1,
giant#1,,principle#1,
giant#2,,principle#2,
giddy,,principle#4,
gift,,privacy,
gifted,,privileged,
gigantic,,privy,
give#1,,prize,
give#4,,pro,
giver,,proactive,
glad#1,,prodigious,
glad#2,,prodigy,
gladden,,productive,
gladness,,productivity,
glamorous,,profess,
glamour,,proffer,
gleam#1,,proficient,
gleam#2,,profit#1,
glean,,profit#2,
glee,,profitable,
glimmer,,profound,
glisten#1,,progress#1,
glisten#2,,progress#2,
glitter#1,,progressive,
glitter#2,,prolific,
glorify,,prominence,
glorious,,prominent,
glory,,promise#3,
glossy,,promise#4,
glow#1,,prompt#1,
glow#2,,prompt#2,
go#2,,promptly,
go#6,,proper,
god,,propitious,
goddess,,proprietary,
godlike,,propriety,
godliness,,prosecute,
gold,,prosper,
golden,,prosperity,
gone#2,,prosperous,
good,,protect,
good#1,,protection,
goodbye,,protective,
goodness,,protector,
gorgeous,,proud,
govern#1,,provide#1,
govern#2,,providence,
government,,prowess,
governmental,,prudence,
governor,,prudent,
grace,,punctual,
graceful,,pure,
gracious,,purification,
graduation,,purify,
grand,,purity,
grandeur,,purposeful,
grant#2,,purr,
grasp#1,,quaint,
grasp#2,,qualify#1,
grateful,,qualify#3,
gratification,,quality#2,
gratify,,quench,
gratitude,,quicken,
gravitational,,radiance,
gravity,,radiant,
great,,radiate,
great#1,,rally,
great#2,,rapport,
great#3,,rapt,
greater,,rapture,
greatest,,rational,
greatly,,rave,
greatness,,readily,
greet#1,,real#1,
greet#2,,realistic,
grind#2,,realistically,
grip#1,,reap,
grip#2,,reasonable,
groom,,reassurance,
ground#2,,reassure,
ground#3,,receptive,
ground#4,,reclaim,
grow#1,,recline,
grow#2,,recompense,
grow#3,,reconcile,
grow#4,,reconciliation,
grow#5,,recreation,
grower,,redeem,
grown#1,,redemption,
grown#6,,reestablish,
growth,,refine,
guarantee#1,,refinement,
guarantee#2,,refuge,
guard#1,,regal,
guard#2,,regard#3,
guardian,,rehabilitation,
guidance,,reinforcement,
guide#1,,reinstate,
guide#2,,rejoice,
guide#4,,relaxation,
guild,,relevance,
gusto,,relevancy,
hallowed,,relevant,
halt,,reliability,
hand#_10,,reliable,
hand#8,,relief,
hand#9,,relieve#3,
handle#1,,religious#1,
handle#3,,relish,
handsome,,remarkable,
handy,,remarkably,
happiest,,remedy,
happily,,remodel,
happiness,,renaissance,
happy,,renewal,
happy#1,,renovate,
happy#2,,renovation,
happy#3,,renown,
happy#4,,repair#1,
harbor#2,,repair#2,
hard#2,,reparation,
hardy,,repent,
harmless,,repentance,
harmonious,,repose,
harmonize,,reputable,
harmony,,rescue#1,
harness,,rescue#2,
have#2,,resolute,
haven,,resolve#1,
head#2,,resolve#2,
head#3,,resolved,
headquarters,,resound,
heal,,resourceful,
health,,resourcefulness,
healthful,,respect#1,
healthy#1,,respect#2,
healthy#2,,respect#5,
healthy#3,,respectable,
heart#3,,respectful,
heart#4,,respite,
heartily,,resplendent,
heat#2,,responsibility,
heaven,,responsible#1,
heavenly,,responsive,
heavy#1,,restful,
heavy#2,,restoration,
heavy#3,,restore,
heavy#4,,resurrect,
heighten,,return#2,
help#1,,return#5,
help#2,,reunion,
help#4,,reunite,
helpful,,revel,
herd#1,,revelation,
herd#2,,revere,
hero,,reverence,
heroic,,reverent,
heroine,,reverently,
heroism,,revitalize,
high#1,,revival,
high#3,,revive,
high#4,,reward#1,
high#5,,reward#2,
highest,,reward#3,
highlight,,rich#1,
hilarious,,rich#2,
hire,,rich#3,
hit#2,,rich#4,
hit#5,,rich#5,
hold#3,,rich#6,
hold#5,,riches,
holder,,richness,
holy,,right#1,
homage,,right#6,
home,,righteous,
honest#1,,righteousness,
honest#2,,rightful,
honest#3,,ripe,
honeymoon,,ripen,
honor,,robust,
honor#1,,romance,
honor#2,,romantic,
honor#3,,romanticize,
honorable,,rosy,
honored,,round#4,
honoring,,rouse,
honors,,sacred,
hope#1,,safe#1,
hope#2,,safe#2,
hopeful,,safe#3,
hospitable,,safe#4,
house#2,,safeguard,
hug,,safety#2,
huge,,sagacity,
human,,sage,
humanitarian,,saint,
humanity,,salutary,
humble,,salutation,
humility,,salute,
humor,,salvation,
humorous,,sanctify,
hygiene,,sanctuary,
ideal,,sane,
ideal#1,,sanguine,
ideal#2,,sanitary,
ideal#3,,sanity,
idealism,,satisfaction,
idol,,satisfactorily,
idolize,,satisfactory,
illuminate,,satisfy#1,
illustrious,,satisfy#2,
imagination,,satisfy#3,
imaginative,,save#1,
immaculate,,savings,
immense,,savor,
immortal,,savvy,
impact,,scamper,
impartial,,scruples,
impartiality,,scrupulous,
impel,,secure#2,
imperative,,secure#3,
imperial,,security#1,
imperialist,,security#2,
impervious,,selective,
impetus,,self-contained,
implement,,self-respect,
implementation,,semblance,
importance,,sensational,
important,,sense#3,
impress,,sense#5,
impress#1,,sensible,
impressed,,sensitive,
impresses,,sensitivity,
impressing,,serene,
impressive,,serious,
impressively,,seriousness,
improve,,settle#4,
improve#1,,share#1,
improve#2,,share#3,
improve#3,,share#4,
improved,,shelter#1,
improvement,,shelter#2,
improvements,,shield,
improves,,shiny,
improving,,shrewd,
impunity,,shrewdness,
inaugurate,,significance,
inauguration,,significant,
include,,signify,
increase#1,,simplicity,
increase#2,,simplify#1,
increase#3,,simplify#2,
increase#4,,sincere,
increase#5,,sincerity,
incredible,,skill#1,
incredibly,,skill#2,
independence,,skillful,
independent#1,,sleek,
independent#2,,smart#1,
independent#4,,smart#2,
indescribable,,smart#4,
indicative,,smile#1,
indispensability,,smile#2,
indispensable,,smile#3,
indisputable,,smile#4,
individuality,,smitten,
indomitable,,sober,
induce,,sociable,
indulgence,,softness,
industrial,,solace,
industrialize,,solution,
industrious,,soothe,
industry,,sophisticated,
inevitability,,sought,
inevitable,,sound#4,
inexpensive,,sound#6,
infallibility,,soundness,
infallible,,spare#2,
infantry,,sparkle,
infer,,special,
inference,,spectacular,
infinite,,speedily,
influence#1,,splendid,
influence#2,,splendor,
influential,,spotless,
inform#1,,sprightly,
inform#2,,squarely,
informative,,stability,
ingenious,,stabilize,
ingenuity,,stable,
inherent,,stand#5,
inherit,,standardize,
initiate,,staple,
initiative,,stately,
inner,,statuesque,
innocence,,staunch,
innocent,,staunchness,
innovate,,steadfast,
innovated,,steadfastness,
innovates,,steadiness,
innovating,,steady,
innovation,,stimulate,
innovations,,stimulation,
innovative,,stood#4,
innovativeness,,straight#3,
innovator,,straightforward,
innovators,,strut,
innumerable,,stud,
inquisitive,,studious,
inseparable,,stupendous,
insight,,sturdy,
insightful,,stylish,
insist,,suave,
insistence,,sublime,
insistent,,subscribe,
inspect,,subscription,
inspection,,subsidize,
inspiration,,subsidy,
inspirational,,subsist,
inspire#1,,subsistence,
inspire#2,,substantiate,
instinctive,,subtle,
institution,,succeed#1,
institutional,,success,
instruct,,successful,
instruction,,suffice,
instructor,,sufficient,
instrumental,,suit#3,
intact,,suit#4,
integration,,suitable,
integrity,,summit,
intellect,,sumptuous,
intellectual#1,,super,
intellectual#2,,superior,
intellectual#3,,superiority,
intelligence,,superlative,
intelligent,,support#1,
intelligible,,support#2,
intense,,support#3,
intensify,,support#4,
intensity,,supportive,
intensive,,supreme#1,
intercede,,supreme#2,
intercourse,,surge,
interest#1,,surmise,
interest#3,,surmount,
interest#4,,surpass,
interested#1,,survival,
interested#2,,survive,
internal,,survivor,
interpose,,sweet#1,
intimacy,,sweet#3,
intimate,,sweet#4,
intricate,,sweet#5,
intrigue,,sweeten,
invaluable,,sweetheart,
invariable,,sweetness,
invariably,,swiftness,
invent,,swoon,
invented,,sworn,
inventing,,symbolize,
invention,,symmetry,
inventions,,sympathetic,
inventive,,sympathize,
inventiveness,,sympathy,
inventor,,synthesis,
inventors,,tact,
inventory,,tactics,
invincible,,talent,
invitation,,talented,
invite#1,,taste#2,
invite#2,,temperance,
involve#1,,temperate,
invulnerable,,tempt,
iron#1,,tenacious,
irrefutable,,tenacity,
irresistible,,tenderness,
issue#3,,terrific,
jest,,thank#1,
join#2,,thank#2,
join#3,,thank#3,
jointly,,thankful,
joke#1,,therapeutic,
joke#2,,thorough,
joke#3,,thoughtful,
jolly,,thoughtfulness,
joy,,thrift,
joyful,,thrifty,
jubilant,,thrill,
jubilee,,thrive,
judge#1,,tingle#1,
judge#2,,togetherness,
judge#3,,tolerance,
judgment#2,,tolerant,
judicial,,tolerate,
junta,,toleration,
jurisdiction,,topmost,
juror,,tradition,
jury,,traditional,
just#3,,train#4,
just#4,,tranquil,
justice,,tranquility,
justifiably,,travel#4,
justification,,treasure#1,
justify,,treasure#2,
keen,,treat#2,
keep#2,,treatise,
keep#4,,treaty,
keep#5,,tremendous#1,
keeper,,tremendous#2,
kick#2,,tribute,
kid#2,,triumph#1,
kind#2,,triumph#2,
kind#5,,triumphal,
kindness,,triumphant,
king,,trophy,
kiss#1,,true#1,
kiss#2,,true#2,
know#3,,true#3,
know#4,,true#4,
knowledge,,true#5,
labor#1,,trust#1,
labor#3,,trust#2,
labor#4,,trust#3,
landlord,,trust#4,
large#1,,trust#6,
large#2,,trust#7,
large#3,,trustworthiness,
last#4,,trustworthy,
last#5,,truth,
laudable,,truthful,
laugh#1,,unbound,
laugh#2,,unbroken,
laugh#5,,uncommon,
laugh#6,,understand#1,
laughter,,understand#2,
launch,,understandable,
lavish,,understood,
law,,undoubted,
lawful,,undoubtedly,
lead#1,,unforgettable,
lead#3,,unhurried,
lead#4,,unimpeachable,
leader,,unique,
leadership,,unity,
leading,,unlimited,
league#1,,unselfish,
league#2,,untouched,
learn#2,,upbeat,
learn#3,,upfront,
learner,,upgrade,
leave#4,,upheld,
legal,,uphold,
legion#2,,uplift,
legislation,,uppermost,
legislative,,upright,
legislator,,upside,
legitimacy,,upward,
legitimate,,usable,
leisure,,useful,
length#3,,usefulness,
let#1,,utilitarian,
let#2,,utilization,
level#2,,utilize,
liberal#2,,uttermost,
liberal#3,,valiant,
liberalism,,valid,
liberate,,validity,
liberation,,valor,
liberty,,valuable,
lieutenant,,value#2,
lifelong,,value#3,
lift,,vanquish,
light#1,,vastness,
light#3,,venerable,
lightning,,venerate,
likable,,verification,
like#2,,verify,
like#3,,veritable,
limitless,,versatile,
lion,,versatility,
lioness,,viability,
live#1,,viable,
live#3,,victorious,
live#6,,vigilance,
lively,,vigilant,
load#2,,virtue,
load#4,,virtuous,
lock#1,,visionary,
logic,,visualization,
logical,,vitality,
long#1,,vivacious,
longevity,,vivid,
look#_11,,voluntary,
lord,,vouchsafe,
lot#1,,warm#1,
lot#2,,warm#2,
loud#1,,warm#3,
loud#2,,warm#4,
loud#3,,warm#5,
loud#4,,warmhearted,
loud#5,,warmth,
love#1,,welcome#1,
love#2,,welcome#2,
love#3,,welcome#3,
love#4,,welcome#5,
love#5,,welfare#1,
loveliness,,well#2,
lovely,,well#4,
lover#1,,whimsical,
lover#2,,wholesome,
lower#2,,willful,
loyal,,willing,
loyalty,,willingness,
lucid,,wisdom,
luck,,wise#1,
luckily,,wise#2,
lucky,,wise#3,
lucrative,,wise#4,
luminous,,wise#5,
lust,,witty,
luster,,wonder#1,
lustrous,,wonderful,
luxuriant,,wondrous,
luxurious,,woo,
luxury,,workable,
lyric,,workmanship,
lyrical,,world-famous,
magical,,worth#1,
magnetic,,worth#2,
magnificence,,worth#3,
magnificent,,worth#4,
magnify,,worth-while,
magnitude,,worthiness,
main#1,,worthy,
main#2,,zenith,
maintain#1,,zest,
maintain#2,,,
majestic,,,
majesty,,,
major#1,,,
majority,,,
make#1,,,
make#3,,,
make#6,,,
make#7,,,
make#8,,,
manage#1,,,
manage#2,,,
manage#3,,,
manageable,,,
management,,,
manager,,,
managerial,,,
maneuver,,,
manly,,,
manpower,,,
manufacture,,,
manufacturer,,,
many#1,,,
many#2,,,
march#2,,,
march#3,,,
marcher,,,
marital,,,
mark#2,,,
marriage,,,
marry#1,,,
marry#2,,,
marshall,,,
marvel,,,
marvelous,,,
masculine,,,
mass#1,,,
mass#2,,,
mass#3,,,
massive,,,
master#1,,,
master#2,,,
masterful,,,
mastery,,,
match#1,,,
match#2,,,
matchless,,,
mate#1,,,
mate#2,,,
material#3,,,
matter#4,,,
mature#1,,,
mature#2,,,
mature#3,,,
maturity,,,
maximization,,,
maximize,,,
maximum,,,
may#1,,,
mayor,,,
meaningful,,,
measurable,,,
measure#4,,,
mediate,,,
meditation,,,
meet#5,,,
mellow,,,
melody,,,
memorable,,,
mend,,,
mentor,,,
merciful,,,
mercy,,,
merit#1,,,
merit#2,,,
meritorious,,,
merrily,,,
merriment,,,
merry,,,
mesh,,,
methodical,,,
meticulous,,,
might#2,,,
mighty,,,
mild,,,
military,,,
militia,,,
mind#_10,,,
mindful,,,
minimize,,,
minister#1,,,
minister#2,,,
minister#4,,,
ministry,,,
mint,,,
miracle,,,
miraculous,,,
mirth,,,
missile,,,
mobile,,,
mobility,,,
mobilize,,,
moderate,,,
moderation,,,
modernity,,,
modest,,,
modesty,,,
modify,,,
mold#2,,,
momentous,,,
momentum,,,
monitor,,,
monopoly,,,
monument,,,
monumental,,,
moral,,,
morale,,,
moralistic,,,
morality,,,
more,,,
most#1,,,
most#2,,,
most#3,,,
motivate,,,
motivated,,,
motivation,,,
motive,,,
move#1,,,
move#2,,,
move#3,,,
move#4,,,
movement,,,
mover,,,
much,,,
muffle#2,,,
multiple,,,
multiplication,,,
multiply,,,
multitude,,,
muscle,,,
muscular,,,
muster,,,
mutual#1,,,
mutual#2,,,
myriad,,,
natural#1,,,
natural#2,,,
naval,,,
navigable,,,
navy,,,
near#2,,,
neat,,,
necessarily,,,
necessary#1,,,
necessary#2,,,
necessary#3,,,
necessitate,,,
necessity,,,
negotiate,,,
nerve,,,
network,,,
new#1,,,
new#3,,,
new#4,,,
new#5,,,
nice#1,,,
nice#2,,,
nice#3,,,
nice#4,,,
niche,,,
nimble,,,
nobility,,,
noble,,,
nobleman,,,
noiseless,,,
nominate,,,
nomination,,,
non-violence,,,
non-violent,,,
norm,,,
normal,,,
notable,,,
notoriety,,,
nourish,,,
nourishment,,,
novelty,,,
nuclear,,,
nuclei,,,
nucleus,,,
number#1,,,
numerous,,,
nurse#2,,,
nurture,,,
nutrient,,,
oasis,,,
obedience,,,
obedient,,,
obey,,,
objective#1,,,
objective#2,,,
objective#3,,,
oblige,,,
obtain,,,
obtainable,,,
occasion#2,,,
occupy,,,
offer#1,,,
offer#2,,,
offer#3,,,
officer,,,
official#1,,,
official#2,,,
official#3,,,
officiate,,,
offset,,,
often,,,
once#4,,,
onset,,,
onward,,,
open#1,,,
open#2,,,
operate#1,,,
operate#3,,,
operation#2,,,
operational,,,
operative,,,
opportune,,,
opportunities,,,
opportunity,,,
optimal,,,
optimism,,,
optimistic,,,
optional,,,
order#2,,,
order#3,,,
order#4,,,
order#5,,,
order#6,,,
order#7,,,
ordinance,,,
organization,,,
organize#1,,,
organize#2,,,
originality,,,
originate,,,
outfit#2,,,
outgoing,,,
outlive,,,
outperform,,,
outperformed,,,
outperforming,,,
outperforms,,,
output#1,,,
output#2,,,
outreach,,,
outright,,,
outrun,,,
outset,,,
outstanding,,,
outwit,,,
over#4,,,
overcame,,,
overcome,,,
overhaul,,,
overjoyed,,,
overlying,,,
overseer,,,
overwhelm,,,
own#1,,,
own#3,,,
own#4,,,
owner,,,
ownership,,,
painstaking,,,
palace,,,
palatable,,,
palatial,,,
pamper,,,
paradise,,,
paramount,,,
pardon#1,,,
pardon#2,,,
parliament,,,
part#3,,,
particular#1,,,
partner,,,
partnership,,,
party#1,,,
pass#_12,,,
pass#2,,,
pass#4,,,
passion,,,
passionate,,,
patience,,,
patient#2,,,
patient#3,,,
patriot,,,
patriotic,,,
patrol#1,,,
patrol#2,,,
patron,,,
patronage,,,
pay#4,,,
peace#1,,,
peace#2,,,
peaceable,,,
peaceful,,,
peak#2,,,
peerless,,,
penetrate,,,
penetration,,,
perfect,,,
perfect#1,,,
perfect#2,,,
perfect#3,,,
perfected,,,
perfection,,,
perfectionism,,,
perfectionist,,,
perfectly,,,
perfects,,,
perfume,,,
permanent,,,
permission,,,
permit#1,,,
permit#2,,,
perpetual,,,
perpetuate,,,
perseverance,,,
persevere,,,
persist,,,
persistence,,,
persistent,,,
persuade,,,
persuasive,,,
pertinent,,,
physical#1,,,
physical#2,,,
picturesque,,,
piety,,,
pinnacle,,,
pious,,,
piston,,,
pity#2,,,
plain#1,,,
plain#3,,,
plain#4,,,
plain#5,,,
plan#1,,,
plan#2,,,
plan#3,,,
plan#4,,,
plant#5,,,
plausibility,,,
playful,,,
playmate,,,
plaything,,,
pleasant,,,
pleasant#1,,,
pleasant#2,,,
pleasantly,,,
pleasantry,,,
please#2,,,
please#3,,,
please#4,,,
pleased,,,
pleased#1,,,
pleased#2,,,
pleased#3,,,
pleasurable,,,
pleasure,,,
pledge,,,
plentiful,,,
plenty,,,
poetic,,,
poignant,,,
point#8,,,
poise#1,,,
police,,,
policeman,,,
policemen,,,
policy,,,
polish,,,
polite,,,
politeness,,,
politician,,,
pomp,,,
pope,,,
popular,,,
popularity,,,
populous,,,
portable,,,
positive,,,
positively,,,
positiveness,,,
positivity,,,
posse,,,
possess,,,
possible,,,
posterity,,,
potency,,,
potent,,,
potential,,,
potentiality,,,
power#1,,,
power#2,,,
powerful,,,
practicable,,,
practical#1,,,
praise#1,,,
praise#2,,,
prance,,,
preacher,,,
precaution,,,
precedent,,,
precept,,,
precious,,,
precise,,,
precision,,,
predominant,,,
predominate,,,
preeminence,,,
preeminent,,,
preference,,,
premier,,,
premiere,,,
premise,,,
premium,,,
preparatory,,,
prepare#1,,,
prepare#2,,,
preserve,,,
preside,,,
presidency,,,
president,,,
presidential,,,
press#2,,,
press#3,,,
press#5,,,
pressure#1,,,
pressure#2,,,
prestige,,,
prestigious,,,
prettily,,,
pretty#2,,,
pretty#3,,,
pretty#4,,,
pretty#5,,,
prevail,,,
prevalent,,,
prevent,,,
prevention,,,
preventive,,,
priceless,,,
pride,,,
priest,,,
primarily,,,
primary#1,,,
primary#2,,,
prime,,,
prince,,,
principal#1,,,
principal#2,,,
principal#3,,,
principle#1,,,
principle#2,,,
principle#4,,,
priority,,,
privacy,,,
privilege,,,
privileged,,,
privy,,,
prize,,,
pro,,,
proactive,,,
proactively,,,
probe,,,
proclaim,,,
proclamation,,,
proctor,,,
procure,,,
procurement,,,
prodigious,,,
prodigy,,,
produce#1,,,
productive,,,
productivity,,,
profess,,,
professor,,,
proffer,,,
proficiency,,,
proficient,,,
proficiently,,,
profit#1,,,
profit#2,,,
profitability,,,
profitable,,,
profitably,,,
profound,,,
progress,,,
progress#1,,,
progress#2,,,
progressed,,,
progresses,,,
progressing,,,
progressive,,,
project#2,,,
prolific,,,
prolong,,,
prominence,,,
prominent,,,
promise#3,,,
promise#4,,,
promote,,,
promotion,,,
prompt#1,,,
prompt#2,,,
promptly,,,
proof,,,
proper,,,
propitious,,,
proponent,,,
proprietary,,,
proprietor,,,
propriety,,,
prosecute,,,
prosper,,,
prospered,,,
prospering,,,
prosperity,,,
prosperous,,,
prospers,,,
protect,,,
protection,,,
protective,,,
protector,,,
proud,,,
prove#1,,,
prove#2,,,
provide#1,,,
providence,,,
prowess,,,
prudence,,,
prudent,,,
pull,,,
punctual,,,
pure,,,
purification,,,
purify,,,
purity,,,
purpose#1,,,
purpose#2,,,
purposeful,,,
purr,,,
pursue,,,
put#6,,,
quaint,,,
qualify#1,,,
qualify#2,,,
qualify#3,,,
quality#2,,,
quarter#3,,,
queen,,,
quench,,,
quest,,,
quicken,,,
quiet#2,,,
radiance,,,
radiant,,,
radiate,,,
raise#1,,,
raise#2,,,
rally,,,
rapport,,,
rapt,,,
rapture,,,
rational,,,
rave,,,
raw,,,
reach#1,,,
readily,,,
readiness,,,
ready#1,,,
reaffirm,,,
real#1,,,
realistic,,,
realistically,,,
realize#2,,,
reap,,,
reason#1,,,
reason#2,,,
reason#3,,,
reasonable,,,
reassurance,,,
reassure,,,
rebound,,,
rebounded,,,
rebounding,,,
rebuild,,,
receptive,,,
reclaim,,,
recline,,,
recommend,,,
recommendation,,,
recompense,,,
reconcile,,,
reconciliation,,,
reconstruct,,,
reconstruction,,,
recover,,,
recovery,,,
recreation,,,
recruit#2,,,
recruitment,,,
rector,,,
recurrent,,,
redeem,,,
redemption,,,
reduce,,,
reestablish,,,
refine,,,
refinement,,,
refuge,,,
regain,,,
regained,,,
regaining,,,
regal,,,
regard#3,,,
regime,,,
regiment,,,
regular,,,
regulate,,,
regulation,,,
rehabilitation,,,
reinforce,,,
reinforcement,,,
reinstate,,,
reiterate,,,
rejoice,,,
relaxation,,,
relentless,,,
relevance,,,
relevancy,,,
relevant,,,
reliability,,,
reliable,,,
relief,,,
relieve#1,,,
relieve#3,,,
religious#1,,,
relish,,,
remarkable,,,
remarkably,,,
remedy,,,
remodel,,,
removal,,,
remove,,,
renaissance,,,
render,,,
renew,,,
renewal,,,
renovate,,,
renovation,,,
renown,,,
repair#1,,,
repair#2,,,
reparation,,,
repel,,,
repent,,,
repentance,,,
replenish,,,
repose,,,
reputable,,,
require#1,,,
require#2,,,
requirement,,,
rescue#1,,,
rescue#2,,,
reserve#1,,,
reserve#3,,,
resist,,,
resistance,,,
resolute,,,
resolution,,,
resolve,,,
resolve#1,,,
resolve#2,,,
resolved,,,
resound,,,
resource,,,
resourceful,,,
resourcefulness,,,
respect#1,,,
respect#2,,,
respect#5,,,
respectable,,,
respectful,,,
respite,,,
resplendent,,,
responsibility,,,
responsible#1,,,
responsive,,,
restful,,,
restoration,,,
restore,,,
restrain,,,
restraint,,,
resumption,,,
resurrect,,,
retain,,,
retention,,,
return#2,,,
return#5,,,
reunion,,,
reunite,,,
revel,,,
revelation,,,
revenue,,,
revere,,,
reverence,,,
reverent,,,
reverently,,,
revitalize,,,
revival,,,
revive,,,
revolutionary,,,
revolutionize,,,
revolutionized,,,
revolutionizes,,,
revolutionizing,,,
reward,,,
reward#1,,,
reward#2,,,
reward#3,,,
rewarded,,,
rewarding,,,
rewards,,,
rich#1,,,
rich#2,,,
rich#3,,,
rich#4,,,
rich#5,,,
rich#6,,,
riches,,,
richness,,,
right#1,,,
right#2,,,
right#4,,,
right#5,,,
right#6,,,
righteous,,,
righteousness,,,
rightful,,,
ripe,,,
ripen,,,
rise#1,,,
rise#2,,,
rise#3,,,
rise#5,,,
rise#6,,,
roar#1,,,
roar#2,,,
robust,,,
romance,,,
romantic,,,
romanticize,,,
root#1,,,
root#2,,,
rope#2,,,
rose#1,,,
rose#2,,,
rosy,,,
round#4,,,
rouse,,,
royal,,,
royalty,,,
rugged,,,
rule#1,,,
rule#2,,,
rule#3,,,
rule#4,,,
ruler,,,
run#2,,,
sacred,,,
safe#1,,,
safe#2,,,
safe#3,,,
safe#4,,,
safeguard,,,
safety#2,,,
sagacity,,,
sage,,,
saint,,,
